category,event,gender,NOC,name,dob,age,ht_in,wt_lbs,medal
TeamSports,3on3Hoops,Men,JPN,BROWN Ira,1982-08-03 00:00:00,39.0,76.0,nan,No
TeamSports,3on3Hoops,Men,JPN,OCHIAI Tomoya,1987-06-18 00:00:00,34.20000076293945,76.8,nan,No
TeamSports,3on3Hoops,Men,JPN,YASUOKA Ryuto,1995-04-27 00:00:00,26.200000762939453,74.0,nan,No
TeamSports,3on3Hoops,Men,JPN,TOMINAGA Keisei,2001-02-01 00:00:00,20.5,72.8,nan,No
TeamSports,3on3Hoops,Men,BEL,CELIS Nick,1988-11-24 00:00:00,32.70000076293945,77.2,nan,No
TeamSports,3on3Hoops,Men,BEL,VERVOORT Thibaut,1997-12-10 00:00:00,23.700000762939453,77.2,nan,No
TeamSports,3on3Hoops,Men,BEL,BOGAERTS Rafael,1993-08-16 00:00:00,28.0,78.0,nan,No
TeamSports,3on3Hoops,Men,BEL,MARIEN Thierry,1992-10-02 00:00:00,28.799999237060547,78.0,nan,No
TeamSports,3on3Hoops,Men,LAT,MIEZIS Nauris,1991-03-31 00:00:00,30.299999237060547,74.8,198.0,No
TeamSports,3on3Hoops,Men,LAT,LASMANIS Karlis,1994-04-08 00:00:00,27.299999237060547,78.7,192.0,No
TeamSports,3on3Hoops,Men,LAT,KRUMINS Edgars,1985-10-16 00:00:00,35.70000076293945,76.2,231.0,No
TeamSports,3on3Hoops,Men,LAT,CAVARS Agnis,1986-07-31 00:00:00,35.0,77.2,216.0,No
TeamSports,3on3Hoops,Men,ROC,SHAROV Stanislav,1995-05-29 00:00:00,26.200000762939453,75.2,209.0,No
TeamSports,3on3Hoops,Men,ROC,ZUEV Alexander,1996-10-04 00:00:00,24.799999237060547,76.0,198.0,No
TeamSports,3on3Hoops,Men,ROC,KARPENKOV Ilia,1997-02-17 00:00:00,24.5,80.3,278.0,No
TeamSports,3on3Hoops,Men,ROC,PISKLOV Kirill,1996-09-22 00:00:00,24.799999237060547,75.8,198.0,No
TeamSports,3on3Hoops,Men,SRB,RATKOV Aleksandar,1992-03-11 00:00:00,29.299999237060547,76.4,nan,No
TeamSports,3on3Hoops,Men,SRB,DOMOVIC BULUT Dusan,1988-04-22 00:00:00,33.20000076293945,78.7,nan,No
TeamSports,3on3Hoops,Men,SRB,MAJSTOROVIC Dejan,1993-07-20 00:00:00,28.100000381469727,78.3,nan,No
TeamSports,3on3Hoops,Men,SRB,VASIC Mihailo,1985-10-23 00:00:00,35.70000076293945,75.2,nan,No
TeamSports,3on3Hoops,Men,CHN,YAN Peng,1996-01-06 00:00:00,25.600000381469727,78.0,nan,No
TeamSports,3on3Hoops,Men,CHN,GAO Shiyan,1996-01-22 00:00:00,25.600000381469727,72.8,nan,No
TeamSports,3on3Hoops,Men,CHN,LI Haonan,1999-07-13 00:00:00,22.100000381469727,77.6,nan,No
TeamSports,3on3Hoops,Men,CHN,HU Jinqiu,1997-09-24 00:00:00,23.799999237060547,82.7,nan,No
TeamSports,3on3Hoops,Men,NED,van der HORST Dimeo,1991-06-23 00:00:00,30.100000381469727,77.6,nan,No
TeamSports,3on3Hoops,Men,NED,BEKKERING Ross,1987-08-19 00:00:00,34.0,80.3,nan,No
TeamSports,3on3Hoops,Men,NED,SLAGTER Arvin,1985-10-19 00:00:00,35.70000076293945,76.0,nan,No
TeamSports,3on3Hoops,Men,NED,VOORN Jessey,1990-03-17 00:00:00,31.299999237060547,76.0,nan,No
TeamSports,3on3Hoops,Men,POL,HICKS Michael,1983-06-17 00:00:00,38.20000076293945,75.6,nan,No
TeamSports,3on3Hoops,Men,POL,ZAMOJSKI Przemyslaw,1986-12-16 00:00:00,34.70000076293945,76.4,nan,No
TeamSports,3on3Hoops,Men,POL,PAWLOWSKI Pawel,1982-03-03 00:00:00,39.5,77.6,nan,No
TeamSports,3on3Hoops,Men,POL,RDUCH Szymon,1989-08-17 00:00:00,32.0,77.6,nan,No
TeamSports,3on3Hoops,Men,ALL,M 3on3 basketball,1991-09-02 00:00:00,30.100000381469727,76.9,215.0,No
TeamSports,3on3Hoops,Women,USA,PLUM Kelsey,1994-08-24 00:00:00,27.0,67.7,145.0,No
TeamSports,3on3Hoops,Women,USA,YOUNG Jacquelyn,1997-09-16 00:00:00,23.799999237060547,71.2,165.0,No
TeamSports,3on3Hoops,Women,USA,DOLSON Stefanie,1992-01-08 00:00:00,29.600000381469727,76.8,214.0,No
TeamSports,3on3Hoops,Women,USA,GRAY Allisha,1995-01-12 00:00:00,26.600000381469727,71.7,167.0,No
TeamSports,3on3Hoops,Women,ALL,W 3on3Hoops TeamUSA,1994-12-29 00:00:00,26.799999237060547,71.8,172.8,No
TeamSports,3on3Hoops,Women,ROC,KOZIK Yulia,1997-02-17 00:00:00,24.5,69.3,nan,No
TeamSports,3on3Hoops,Women,ROC,LOGUNOVA Anastasiia,1990-07-20 00:00:00,31.100000381469727,75.6,nan,No
TeamSports,3on3Hoops,Women,ROC,FROLKINA Olga,1997-07-28 00:00:00,24.0,72.0,nan,No
TeamSports,3on3Hoops,Women,ROC,FROLKINA Evgeniia,1997-07-28 00:00:00,24.0,71.7,nan,No
TeamSports,3on3Hoops,Women,CHN,YANG Shuyu,2002-03-06 00:00:00,19.299999237060547,72.8,nan,No
TeamSports,3on3Hoops,Women,CHN,ZHANG Zhiting,1995-12-21 00:00:00,25.600000381469727,76.8,nan,No
TeamSports,3on3Hoops,Women,CHN,WAN Jiyuan,2002-07-13 00:00:00,19.100000381469727,73.6,nan,No
TeamSports,3on3Hoops,Women,CHN,WANG Lili,1992-09-08 00:00:00,28.799999237060547,69.3,nan,No
TeamSports,3on3Hoops,Women,FRA,PAGET Marie-Eve,1994-11-28 00:00:00,26.700000762939453,66.9,nan,No
TeamSports,3on3Hoops,Women,FRA,FILIP Ana Maria,1989-06-20 00:00:00,32.20000076293945,76.8,nan,No
TeamSports,3on3Hoops,Women,FRA,GUAPO Laetitia,1995-10-25 00:00:00,25.700000762939453,72.0,nan,No
TeamSports,3on3Hoops,Women,FRA,TOURE Mamignan,1994-12-19 00:00:00,26.700000762939453,70.9,nan,No
TeamSports,3on3Hoops,Women,ITA,D ALIE Raelin,1987-10-31 00:00:00,33.70000076293945,64.2,nan,No
TeamSports,3on3Hoops,Women,ITA,CONSOLINI Chiara,1988-05-20 00:00:00,33.20000076293945,71.7,nan,No
TeamSports,3on3Hoops,Women,ITA,FILIPPI Marcella,1985-09-27 00:00:00,35.900001525878906,73.2,nan,No
TeamSports,3on3Hoops,Women,ITA,RULLI Giulia,1991-06-03 00:00:00,30.200000762939453,72.8,nan,No
TeamSports,3on3Hoops,Women,JPN,MAWULI Stephanie,1998-11-25 00:00:00,22.700000762939453,71.3,nan,No
TeamSports,3on3Hoops,Women,JPN,SHINOZAKI Mio,1991-09-12 00:00:00,29.799999237060547,65.7,nan,No
TeamSports,3on3Hoops,Women,JPN,NISHIOKA Risa,1997-03-03 00:00:00,24.299999237060547,73.2,nan,No
TeamSports,3on3Hoops,Women,JPN,YAMAMOTO Mai,1999-10-23 00:00:00,21.700000762939453,65.0,nan,No
TeamSports,3on3Hoops,Women,MGL,MUNKHSAIKHAN Tserenlkham,1996-03-13 00:00:00,25.299999237060547,70.1,nan,No
TeamSports,3on3Hoops,Women,MGL,ENKHTAIVAN Chimeddolgor,1993-01-29 00:00:00,28.5,68.9,nan,No
TeamSports,3on3Hoops,Women,MGL,ONOLBAATAR Khulan,1999-07-27 00:00:00,22.0,70.9,nan,No
TeamSports,3on3Hoops,Women,MGL,BAYASGALAN Solongo,1990-02-06 00:00:00,31.5,71.7,nan,No
TeamSports,3on3Hoops,Women,ROU,CUIC Claudia,1989-08-05 00:00:00,32.0,71.7,nan,No
TeamSports,3on3Hoops,Women,ROU,URSU Sonia,1993-07-24 00:00:00,28.100000381469727,69.3,nan,No
TeamSports,3on3Hoops,Women,ROU,STOENESCU Ancuta,1980-01-01 00:00:00,41.5,68.5,nan,No
TeamSports,3on3Hoops,Women,ROU,MARGINEAN Gabriela,1987-02-12 00:00:00,34.5,71.7,nan,No
TeamSports,3on3Hoops,Women,ALL,W 3on3 basketball,NaT,27.700000762939453,71.1,170.0,No
TeamSports,5on5Hoops,Men,ARG,BRUSSINO Nicolas,1993-03-02 00:00:00,28.5,78.7,nan,No
TeamSports,5on5Hoops,Men,ARG,CAFFARO Francisco,2000-05-19 00:00:00,21.200000762939453,81.5,nan,No
TeamSports,5on5Hoops,Men,ARG,BOLMARO Leandro,2000-09-11 00:00:00,20.799999237060547,78.0,nan,No
TeamSports,5on5Hoops,Men,ARG,DECK Gabriel,1995-02-08 00:00:00,26.5,79.5,nan,No
TeamSports,5on5Hoops,Men,ARG,DELIA Marcos,1992-04-08 00:00:00,29.299999237060547,81.1,nan,No
TeamSports,5on5Hoops,Men,ARG,GALLIZZI Tayavek,1993-02-08 00:00:00,28.5,80.7,nan,No
TeamSports,5on5Hoops,Men,ARG,GARINO Patricio,1993-05-17 00:00:00,28.200000762939453,77.2,nan,No
TeamSports,5on5Hoops,Men,ARG,CAMPAZZO Facundo,1991-03-23 00:00:00,30.299999237060547,70.5,nan,No
TeamSports,5on5Hoops,Men,ARG,LAPROVITTOLA Nicolas,1990-01-31 00:00:00,31.5,76.4,nan,No
TeamSports,5on5Hoops,Men,ARG,SCOLA Luis,1980-04-30 00:00:00,41.20000076293945,80.3,nan,No
TeamSports,5on5Hoops,Men,ARG,VAULET Juan Pablo,1996-03-22 00:00:00,25.299999237060547,78.0,nan,No
TeamSports,5on5Hoops,Men,ARG,VILDOZA Luca,1995-08-11 00:00:00,26.0,75.2,nan,No
TeamSports,5on5Hoops,Men,USA,DURANT Kevin,1988-09-29 00:00:00,32.900001525878906,81.1,231.0,No
TeamSports,5on5Hoops,Men,USA,GRANT Jerami,1994-03-12 00:00:00,27.299999237060547,78.0,nan,No
