Sport,Event,Gender,Medal_Date,disc_html,evt_html,Entries,NOCs,Gold,G_NOC,Silver,S_NOC,Bronze,B_NOC,Bronze2,B2_NOC,Gold2,G2_NOC
3on3 Basketball,3on3 Hoops,Men,7/28/21,3x3-basketball,men,32,8,Latvia,LAT,ROC,ROC,Serbia,SRB,nan,nan,nan,nan
3on3 Basketball,3on3 Hoops,Women,7/28/21,3x3-basketball,women,32,8,United States,USA,ROC,ROC,China,CHN,nan,nan,nan,nan
Archery,Individual Archery,Men,7/31/21,archery,men-s-individual,64,40,GAZOZ Mete,TUR,NESPOLI Mauro,ITA,FURUKAWA Takaharu,JPN,nan,nan,nan,nan
Archery,Team Archery,Men,7/26/21,archery,men-s-team,36,12,Republic of Korea,KOR,Chinese Taipei,TPE,Japan,JPN,nan,nan,nan,nan
Archery,Team Archery,Mixed,7/24/21,archery,mixed-team,61,29,Republic of Korea,KOR,Netherlands,NED,Mexico,MEX,nan,nan,nan,nan
Archery,Individual Archery,Women,7/30/21,archery,women-s-individual,64,40,AN San,KOR,OSIPOVA Elena,ROC,BOARI Lucilla,ITA,nan,nan,nan,nan
Archery,Team Archery,Women,7/25/21,archery,women-s-team,36,12,Republic of Korea,KOR,ROC,ROC,Germany,GER,nan,nan,nan,nan
Gymnastics,Individual All-Around,Men,7/28/21,artistic-gymnastics,men-s-all-around,66,30,HASHIMOTO Daiki,JPN,XIAO Ruoteng,CHN,NAGORNYY Nikita,ROC,nan,nan,nan,nan
Gymnastics,Floor Exercise,Men,8/1/21,artistic-gymnastics,men-s-floor-exercise,68,32,DOLGOPYAT Artem,ISR,ZAPATA Rayderley,ESP,XIAO Ruoteng,CHN,nan,nan,nan,nan
Gymnastics,Horizontal Bar,Men,8/3/21,artistic-gymnastics,men-s-horizontal-bar,71,35,HASHIMOTO Daiki,JPN,SRBIC Tin,CRO,NAGORNYY Nikita,ROC,nan,nan,nan,nan
Gymnastics,Parallel Bars,Men,8/3/21,artistic-gymnastics,men-s-parallel-bars,70,33,ZOU Jingyuan,CHN,DAUSER Lukas,GER,ARICAN Ferhat,TUR,nan,nan,nan,nan
Gymnastics,Pommel Horse,Men,8/1/21,artistic-gymnastics,men-s-pommel-horse,74,35,WHITLOCK Max,GBR,KLEE Chih Kai,TPE,KAYA Kazuma,JPN,nan,nan,nan,nan
Gymnastics,Rings,Men,8/2/21,artistic-gymnastics,men-s-rings,72,32,LIU Yang,CHN,YOU Hao,CHN,PETROUNIAS Eleftherios,GRE,nan,nan,nan,nan
Gymnastics,Team All-Around,Men,7/26/21,artistic-gymnastics,men-s-team,48,12,ROC,ROC,Japan,JPN,China,CHN,nan,nan,nan,nan
Gymnastics,Horse Vault,Men,8/2/21,artistic-gymnastics,men-s-vault,24,18,SHIN Jeahwan,KOR,ABLIAZIN Denis,ROC,DAVTYAN Artur,ARM,nan,nan,nan,nan
Gymnastics,Individual All-Around,Women,7/28/21,artistic-gymnastics,women-s-all-around,85,40,LEE Sunisa,USA,ANDRADE Rebeca,BRA,MELNIKOVA Angelina,ROC,nan,nan,nan,nan
Gymnastics,Balance Beam,Women,8/3/21,artistic-gymnastics,women-s-balance-beam,91,43,GUAN Chenchen,CHN,TANG Xijing,CHN,BILES Simone,USA,nan,nan,nan,nan
Gymnastics,Floor Exercise,Women,8/2/21,artistic-gymnastics,women-s-floor-exercise,85,42,CAREY Jade,USA,FERRARI Vanessa,ITA,MURAKAMI Mai,JPN,MELNIKOVA Angelina,ROC,nan,nan
Gymnastics,Team All-Around,Women,7/27/21,artistic-gymnastics,women-s-team,48,12,ROC,ROC,United States,USA,Great Britain,GBR,nan,nan,nan,nan
