dis_code,discipline,medal_events,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21
ARC,Archery,5,1,1,1,,,,1,1,,,,,,,,
SWA,Artistic Swimming,2,,,,,,,,,,,,1,,,1,
ATH,Athletics,48,,,,,,,1,3,4,5,6,5,8,8,7,1
BDM,Badminton,5,,,,,,,1,1,1,2,,,,,,
BSB,Baseball-Softball,2,,,,1,,,,,,,,,,,1,
BAS,Basketball 5on5,2,,,,,,,,,,,,,,,1,1
BK3,Basketball 3on3,2,,,,,2,,,,,,,,,,,
BVO,Beach Volleyball,2,,,,,,,,,,,,,,1,1,
BOX,Boxing,13,,,,,,,,,,,2,1,1,1,4,4
CSL,Canoe-Kayak Slalom,4,,,1,1,,1,1,,,,,,,,,
CAN,Canoe-Kayak Sprint,12,,,,,,,,,,,4,,4,,4,
BMX,Cycling-BMX Racing,2,,,,,,,2,,,,,,,,,
BMF,Cycling-BMX Freestyle,2,,,,,,,,,2,,,,,,,
CYC,Cycling-Road,4,1,1,,,2,,,,,,,,,,,
CTR,Cycling-Track,12,,,,,,,,,,1,2,1,2,2,1,3
DIV,Diving,8,,1,1,1,1,,,,1,,1,,1,,1,
EDR,Equestrian Dressage,2,,,,1,1,,,,,,,,,,,
EQU,Equestrian Jumping,2,,,,,,,,,,2,,,,,,
EVE,Equestrian Eventing,2,,,,,,,,,,,,1,,,1,
FEN,Fencing,12,2,2,2,1,1,1,1,1,1,,,,,,,
HOK,Field Hockey,2,,,,,,,,,,,,,1,1,,
FTB,Football,2,,,,,,,,,,,,,,1,1,
GOL,Stroke-Play Golf,2,,,,,,,,,1,,,,,,1,
GYM,Artistic Gymnastics,14,,,1,1,1,1,,,4,3,3,,,,,
HAN,Team Handball,2,,,,,,,,,,,,,,,1,1
JUD,Judo,15,2,2,2,2,2,2,2,1,,,,,,,,
KTE,Karate,8,,,,,,,,,,,,,3,3,2,
OWS,Openwater Swimming,2,,,,,,,,,,,,1,1,,,
MOP,Modern Pentathlon,2,,,,,,,,,,,,,,1,1,
MTB,Cycling-MTB,2,,,1,1,,,,,,,,,,,,
RGM,Rhythmic Gymnastics,2,,,,,,,,,,,,,,,1,1
ROW,Rowing,14,,,,,6,4,4,,,,,,,,,
RGS,Rugby Sevens,2,,,,,1,,,1,,,,,,,,
SAI,Sailing,10,,,,,,,,2,2,,4,2,,,,
SHO,Shooting,15,2,2,2,2,,2,1,2,,2,,,,,,
SKB,Skateboarding,4,,1,1,,,,,,,,,1,1,,,
CLB,Sport Climbing,2,,,,,,,,,,,,,1,1,,
SRF,Surfing,2,,,,2,,,,,,,,,,,,
SWI,Swimming,35,,4,4,4,5,5,4,4,5,,,,,,,
TTN,Table Tennis,5,,,1,,,1,1,,,,,,1,1,,
TKW,Taekwondo,8,2,2,2,2,,,,,,,,,,,,
TEN,Tennis,5,,,,,,,1,1,3,,,,,,,
TMP,Trampolining,2,,,,,,,1,1,,,,,,,,
TRI,Triathlon,3,,,1,1,,,,1,,,,,,,,
VOL,Volleyball,2,,,,,,,,,,,,,,,1,1
WAP,Water Polo,2,,,,,,,,,,,,,,,1,1
WLT,Weightlifting,14,1,2,1,2,1,,,2,1,2,1,1,,,,
WRE,Wrestling,18,,,,,,,,,,3,3,3,3,3,3,
